stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url
LGO4,LGO4,LICEU GARCIA ORTA,41.1615234421888,-8.66679196387943,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LGO4
MF1,MF1,MARTIM FREITAS,41.1741666911024,-8.66249996700516,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MF1
PRCD3,PRCD3,PARQUE DA CIDADE,41.1651064833907,-8.67121770096046,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRCD3
DISP1,DISP1,DISPENSÁRIO,41.1292471575865,-8.61494759105916,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DISP1
DV2,DV2,DEVESAS,41.1258268709641,-8.61800897958219,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DV2
DVE1,DVE1,DEVESAS (ESTAÇÃO),41.1290418585954,-8.61981961037425,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DVE1
EC,EC,ELECTROCERÂMICA,41.1365902580815,-8.62968944858928,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EC
RMT2,RMT2,R. DAS MATAS,41.1207758994147,-8.63334631860043,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RMT2
JMRR2,JMRR2,JARDIM DO MORRO,41.1359434992926,-8.60802032608154,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JMRR2
JMRR1,JMRR1,JARDIM DO MORRO,41.135348544285,-8.60818276239068,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JMRR1
TRBG1,TRBG1,TRIBUNAL DE GAIA,41.1289208264457,-8.61002976263968,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TRBG1
MJP1,MJP1,MAJOR PÁLA,41.1301447685538,-8.6314032495796,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MJP1
